order_id,order_date,region,product_line,sku,customer_id,customer_type,sales_amount,quantity,discount,return_flag,inventory_level
ORD-20260101-00007,2026-01-01,华东,儿科,PED-002,CUST-华东-1090,单体药店,1508.97,47,0.01,0,1060
ORD-20260101-00008,2026-01-01,华东,儿科,PED-001,CUST-华东-1048,医院终端,1734.21,45,0.03,0,1201
ORD-20260101-00009,2026-01-01,华东,儿科,PED-001,CUST-华东-1089,诊所,2887.88,46,0.0,0,1107
ORD-20260101-00010,2026-01-01,华东,儿科,PED-003,CUST-华东-1020,诊所,965.16,22,0.05,0,1186
ORD-20260101-00011,2026-01-01,华东,儿科,PED-001,CUST-华东-1004,连锁药房,1693.04,30,0.03,0,1310
ORD-20260101-00012,2026-01-01,华东,皮肤科,DERM-002,CUST-华东-1063,连锁药房,1870.36,46,0.05,0,691
ORD-20260101-00013,2026-01-01,华东,皮肤科,DERM-001,CUST-华东-1068,诊所,1500.05,42,0.03,0,824
ORD-20260101-00014,2026-01-01,华东,皮肤科,DERM-002,CUST-华东-1017,连锁药房,479.3,10,0.0,0,698
ORD-20260101-00015,2026-01-01,华东,皮肤科,DERM-003,CUST-华东-1087,连锁药房,376.2,9,0.05,0,859
ORD-20260101-00016,2026-01-01,华东,皮肤科,DERM-003,CUST-华东-1070,连锁药房,318.7,5,0.0,0,894
ORD-20260101-00017,2026-01-01,华东,肿瘤科,ONCO-003,CUST-华东-1037,连锁药房,3754.62,34,0.0,0,554
ORD-20260101-00018,2026-01-01,华东,肿瘤科,ONCO-003,CUST-华东-1064,诊所,8460.14,60,0.02,0,679
ORD-20260101-00019,2026-01-01,华东,肿瘤科,ONCO-003,CUST-华东-1047,连锁药房,4785.67,39,0.08,0,726
ORD-20260101-00020,2026-01-01,华东,肿瘤科,ONCO-002,CUST-华东-1014,单体药店,8244.07,58,0.02,0,543
ORD-20260101-00021,2026-01-01,华东,肿瘤科,ONCO-003,CUST-华东-1010,医院终端,7480.11,57,0.0,0,692
ORD-20260101-00022,2026-01-01,华东,肿瘤科,ONCO-001,CUST-华东-1060,连锁药房,2128.37,15,0.03,0,730
ORD-20260101-00001,2026-01-01,华东,骨科,ORTHO-001,CUST-华东-1031,诊所,3324.36,52,0.0,0,999
ORD-20260101-00002,2026-01-01,华东,骨科,ORTHO-001,CUST-华东-1004,单体药店,1001.31,18,0.01,0,733
ORD-20260101-00003,2026-01-01,华东,骨科,ORTHO-003,CUST-华东-1083,连锁药房,2523.06,31,0.02,0,862
ORD-20260101-00004,2026-01-01,华东,骨科,ORTHO-001,CUST-华东-1020,诊所,2113.06,26,0.02,0,892
ORD-20260101-00005,2026-01-01,华东,骨科,ORTHO-001,CUST-华东-1012,连锁药房,1722.9,27,0.08,0,742
